Outlier Number,name,gal_l,gal_b,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,hard_hm,hard_hs,nh_gal,acis_num,acis_time,likelihood,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,SIMBAD Best Match,SIMBAD Object Type
1, 2CXO J004258.6+411527,121.22207,-21.58614,0.72,0.71,84.2,24.42,-0.1711,-0.3198,6.69,108,781264.0,3987.615,6.4379999999999984e-18,-2.03,2788.0,1.412e-08,16.078,4.879e-15,0.8408,9771.0,9.56e-05,16.077,1.379e-15,2.434,8703.0,0.00025069999999999997,16.077,[BGP2014] 365,X
2, 2CXO J004617.7-420751,306.60828,-74.96053,0.71,0.71,100.4,12.92,0.9107,0.9194,2.15,1,18381.9,1038.6989999999996,2.622e-13,-1.103,1.351e-05,1.227e-06,1.249,1.557e-13,74.8,6.153,1.957e-08,1.3019999999999998,2.204e-13,100.0,852.1,0.0001804,3.5789999999999997,2MASX J00461775-4207512,AGN
3, 2CXO J010212.0-215209,148.46987,-84.19968,1.02,0.86,81.4,9.79,0.9694,0.7245,1.6,4,193701.1,325.209,4.359e-14,-1.9240000000000002,2.136e-05,5.457000000000001e-08,1.5,3.195e-14,93.05,403.5,3.246e-09,1.77,4.102e-14,100.0,2108.0,5.621e-05,2.385,LEDA 822608,AGN
4, 2CXO J010337.6-720146,301.60123,-45.067209999999996,0.72,0.72,94.1,16.52,0.1874,0.5784,6.65,158,1362812.1,126.279,7.36e-15,10.0,95.2,9.391e-06,1.6480000000000001,1.022e-15,0.1596,5.407,0.00046369999999999994,1.645,1.223e-15,0.5942,3.812e-07,2.16e-06,1.651,No object found.,
5, 2CXO J010852.8+132014,129.4484,-49.31366,0.71,0.71,96.9,44.52,0.8432,0.7945,4.0,2,39831.6,11778.01,1.4019999999999999e-12,-1.5119999999999998,1.124e-06,3.3619999999999997e-06,3.327,1.375e-12,63.12,0.001126,1.08e-07,3.698,1.385e-12,100.0,2412.0,0.002093,5.604,2C 94,Sy2
6, 2CXO J011424.9-552349,296.10686,-61.42565,0.71,0.71,179.3,13.78,0.8907,0.8607,2.72,1,4934.5,1366.604,1.083e-12,-1.128,1.044e-06,4.878e-06,2.966,7.739999999999999e-13,66.64,1.4369999999999998,8.953e-08,3.053,1.063e-12,100.0,1163.0,0.0010140000000000001,3.6689999999999996,2MASX J01142491-5523497,Sy2
7, 2CXO J020106.4-064856,165.25432,-63.80481999999999,0.71,0.71,77.7,28.29,0.757,0.3835,2.08,1,13614.0,4443.4,1.115e-12,-1.435,1.18e-06,3.128e-06,7.416,1.211e-12,42.1,7.886e-07,1.403e-07,7.516,2.586e-13,19.74,2.385e-06,6.305e-05,9.261000000000001,NGC 788,Sy2
8, 2CXO J022556.1-044723,172.35547,-58.279830000000004,3.03,2.68,89.5,7.99,0.376,-0.1199,2.51,1,74940.7,103.3094,2.095e-14,1.89,3.356e-09,4.717e-06,1.295,8.106e-15,0.3053,4.317e-05,0.0001296,1.8519999999999999,2.045e-14,5.312,4.503e-05,5.4470000000000005e-06,1.4280000000000002,2XLSSd J022556.2-044725,QSO
9, 2CXO J024104.8-081520,182.01958,-57.925419999999995,0.71,0.71,130.1,72.28,0.7433,0.7183,3.07,2,61539.8,26468.08,1.7690000000000004e-12,-0.239,2.762e-07,3.164e-05,1.578,1.737e-12,2.867,2.82e-07,9.138e-06,2.0909999999999997,1.3449999999999998e-12,100.0,232.1,0.0006935,5.501,NGC 1052,AGN
10, 2CXO J031632.4+420445,149.73451,-13.11765,5.53,2.16,100.8,8.27,0.6571,0.7021,14.49,4,149142.6,139.56799999999998,5.231e-14,-0.302,0.00014690000000000002,9.898e-07,1.199,3.7810000000000005e-14,2.738,5.073e-06,3.2810000000000003e-07,1.197,5.066e-14,100.0,328.0,2.806e-05,1.2209999999999999,No object found.,
11, 2CXO J031948.1+413042,150.57574,-13.261239999999999,0.71,0.71,0.0,167.75,0.792,0.8532,14.56,11,777355.1,106623.4,1.246e-12,-0.43799999999999994,3.0760000000000003e-07,1.65e-05,1.544,1.217e-12,3.815,2.668e-07,3.688e-06,1.911,9.225e-13,100.0,245.1,0.0004814,4.559,3C 84,Sy2
12, 2CXO J031953.1+412953,150.59687,-13.263829999999999,0.72,0.72,0.0,9.69,-0.5646,-0.8507,14.58,17,1258162.0,74.61462,3.063e-15,10.0,140.1,0.0001118,0.8640000000000001,2.9890000000000003e-15,0.1711,39.1,0.002581,0.868,5.189e-15,13.58,4.132e-07,1.294e-06,1.145,No object found.,
13, 2CXO J033218.3-275055,223.63289,-54.47861999999999,0.71,0.71,67.6,27.96,0.8595,0.7558,0.9,81,5580092.1,2924.8979999999997,3.877000000000001e-15,-0.185,5.003e-05,8.447000000000001e-08,0.94,3.695e-15,2.699,5.845e-06,2.5669999999999998e-08,0.9790000000000001,4.228e-15,100.0,274.6,2.241e-06,1.046,ATCDFS J033218.03-275056.2,Sy2
14, 2CXO J033225.8-275507,223.75919,-54.461619999999996,0.8,0.8,120.6,7.92,-0.0512,-0.3323,0.9,83,5820752.7,86.47445,3.6310000000000005e-14,9.995,281.5,0.0001094,0.875,3.002e-16,0.2094,109.5,0.00021180000000000005,0.879,4.845e-16,4.104,1.523e-05,1.4960000000000002e-07,0.983,[LBX2017] 464,AGN
15, 2CXO J033251.6-275213,223.70073,-54.36036,0.92,0.78,1.5,8.38,0.6171,0.6583,0.9,84,5826097.0,128.842,6.787e-17,0.747,6.3639999999999995e-06,6.112000000000001e-08,0.652,8.891e-16,0.4827,1749.0,5.543e-05,0.652,9.246e-16,0.8037,1850.0,0.0001512,0.652,CXOCDFS J033251.8-275214,AGN
